gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d043006,1,1,1,1,4,1.56511152729365,US
Zm00001d043144,1,1,1,1,4,1.56511152729365,US
Zm00001d043145,1,1,1,1,4,1.56511152729365,US
Zm00001d043146,1,1,1,1,4,1.56511152729365,US
Zm00001d050656,1,1,1,1,4,1.56511152729365,US
Zm00001d050658,1,1,1,1,4,1.56511152729365,US
Zm00001d030159,1,1,1,1,4,1.56071590135572,AN
Zm00001d032344,1,1,1,1,4,1.56071590135572,AN
Zm00001d033066,1,1,1,1,4,1.56071590135572,AN
Zm00001d023768,1,1,1,1,4,1.56071590135572,AN
Zm00001d023769,1,1,1,1,4,1.56071590135572,AN
Zm00001d001804,1,1,1,1,4,1.56071590135572,AN
Zm00001d001806,1,1,1,1,4,1.56071590135572,AN
Zm00001d002853,1,1,1,1,4,1.56071590135572,AN
Zm00001d002854,1,1,1,1,4,1.56071590135572,AN
Zm00001d005856,1,1,1,1,4,1.56071590135572,AN
Zm00001d005857,1,1,1,1,4,1.56071590135572,AN
Zm00001d005858,1,1,1,1,4,1.56071590135572,AN
Zm00001d039313,1,1,1,1,4,1.56071590135572,AN
Zm00001d013711,1,1,1,1,4,1.56071590135572,AN
Zm00001d013712,1,1,1,1,4,1.56071590135572,AN
Zm00001d013713,1,1,1,1,4,1.56071590135572,AN
Zm00001d017110,1,1,1,1,4,1.56071590135572,AN
Zm00001d017111,1,1,1,1,4,1.56071590135572,AN
Zm00001d017112,1,1,1,1,4,1.56071590135572,AN
Zm00001d017117,1,1,1,1,4,1.56071590135572,AN
Zm00001d017118,1,1,1,1,4,1.56071590135572,AN
Zm00001d017119,1,1,1,1,4,1.56071590135572,AN
Zm00001d017120,1,1,1,1,4,1.56071590135572,AN
Zm00001d038195,1,1,1,1,4,1.56071590135572,AN
Zm00001d008939,1,1,1,1,4,1.56071590135572,AN
Zm00001d008940,1,1,1,1,4,1.56071590135572,AN
Zm00001d008941,1,1,1,1,4,1.56071590135572,AN
Zm00001d009938,1,1,1,1,4,1.56071590135572,AN
Zm00001d039446,1,1,1,1,4,1.55943009758434,AN
Zm00001d039448,1,1,1,1,4,1.55943009758434,AN
Zm00001d028606,1,1,1,1,4,1.54267271612209,MH
Zm00001d030644,1,1,1,1,4,1.54267271612209,MH
Zm00001d032858,1,1,1,1,4,1.54267271612209,MH
Zm00001d042652,1,1,1,1,4,1.54267271612209,MH
Zm00001d042653,1,1,1,1,4,1.54267271612209,MH
Zm00001d042654,1,1,1,1,4,1.54267271612209,MH
Zm00001d048833,1,1,1,1,4,1.54267271612209,MH
Zm00001d048834,1,1,1,1,4,1.54267271612209,MH
Zm00001d048835,1,1,1,1,4,1.54267271612209,MH
Zm00001d048836,1,1,1,1,4,1.54267271612209,MH
Zm00001d014989,1,1,1,1,4,1.54267271612209,MH
Zm00001d014990,1,1,1,1,4,1.54267271612209,MH
Zm00001d014991,1,1,1,1,4,1.54267271612209,MH
Zm00001d016586,1,1,1,1,4,1.54267271612209,MH
Zm00001d016587,1,1,1,1,4,1.54267271612209,MH
Zm00001d036522,1,1,1,1,4,1.54267271612209,MH
Zm00001d036524,1,1,1,1,4,1.54267271612209,MH
Zm00001d036525,1,1,1,1,4,1.54267271612209,MH
Zm00001d038276,1,1,1,1,4,1.54267271612209,MH
Zm00001d045800,1,1,1,1,4,1.54267271612209,MH
Zm00001d046358,1,1,1,1,4,1.54267271612209,MH
Zm00001d029734,1,1,1,1,4,1.53534974656061,US
Zm00001d029736,1,1,1,1,4,1.53534974656061,US
Zm00001d030121,1,1,1,1,4,1.52226221886221,MH
Zm00001d039272,1,1,1,1,4,1.52226221886221,MH
Zm00001d048691,1,1,1,1,4,1.52226221886221,MH
Zm00001d048692,1,1,1,1,4,1.52226221886221,MH
Zm00001d014442,1,1,1,1,4,1.52226221886221,MH
Zm00001d020497,1,1,1,1,4,1.52226221886221,MH
